sn,german,english,example_de,info
652,der Fantasy-Film,fantasy film,Das ist der Fantasy-Film.,Nomen (m); Plural: Fantasy-Filme.
653,die Filmmusik,soundtrack,Das ist die Filmmusik.,Nomen (f); Plural: Filmmusike.
654,der Thriller,thriller,Das ist der Thriller.,Nomen (m); Plural: Thriller.
655,der E-Book-Reader,e-book reader,Das ist der E-Book-Reader.,Nomen (m); Plural: E-Book-Reader.
656,das Smartphone,smartphone,Das ist das Smartphone.,Nomen (n); Plural: Smartphonen.
657,die Spielekonsole,game console,Das ist die Spielekonsole.,Nomen (f); Plural: Spielekonsolen.
658,der Bildschirm,screen,Das ist der Bildschirm.,Nomen (m); Plural: Bildschirme.
659,der Lautsprecher,speaker,Das ist der Lautsprecher.,Nomen (m); Plural: Lautsprecher.
660,das E-Book,e-book,Das ist das E-Book.,Nomen (n); Plural: E-Booke.
661,der Laptop,laptop,Das ist der Laptop.,Nomen (m); Plural: Laptope.
662,das Radio,radio,Das ist das Radio.,Nomen (n); Plural: Radioe.
663,das Tablet,tablet,Das ist das Tablet.,Nomen (n); Plural: Tablete.
664,die Tastatur,keyboard,Das ist die Tastatur.,Nomen (f); Plural: Tastature.
665,die Webseite,website,Das ist die Webseite.,Nomen (f); Plural: Webseiten.
666,der Kontakt,contact,Das ist der Kontakt.,Nomen (m); Plural: Kontakte.
667,das Kabel,cable,Das ist das Kabel.,Nomen (n); Plural: Kabel.
668,der Link,link,Das ist der Link.,Nomen (m); Plural: Linke.
669,die Freundschaft,friendship,Das ist die Freundschaft.,Nomen (f); Plural: Freundschaften.
670,die Sorge,worry / concern,Das ist die Sorge.,Nomen (f); Plural: Sorgen.
671,die Kindheit,childhood,Das ist die Kindheit.,Nomen (f); Plural: Kindheiten.
672,das Schicksal,fate,Das ist das Schicksal.,Nomen (n); Plural: Schicksale.
673,der Enkel,grandson,Das ist der Enkel.,Nomen (m); Plural: Enkel.
674,das Tier,animal,Das ist das Tier.,Nomen (n); Plural: Tier.
675,die Buchstaben,letters,Das ist die Buchstaben.,Nomen (f); Plural: Buchstabene.
676,die Hauptperson,main character,Das ist die Hauptperson.,Nomen (f); Plural: Hauptpersone.
677,die Handlung,plot / story,Das ist die Handlung.,Nomen (f); Plural: Handlungen.
678,der Humor,humor,Das ist der Humor.,Nomen (m); Plural: Humore.
679,der Trailer,trailer (film),Das ist der Trailer.,Nomen (m); Plural: Trailer.
680,das Talent,talent,Das ist das Talent.,Nomen (n); Plural: Talente.
681,der Witz,joke,Das ist der Witz.,Nomen (m); Plural: Witze.
682,Das sehe ich anders,I see that differently,Das sehe ich anders.,"Redemittel, um höflich zu widersprechen."
683,der Berg,mountain,Das ist der Berg.,Nomen (m); Plural: Berge.
684,die Familie,family,Das ist die Familie.,Nomen (f); Plural: Familien.
685,der Beruf,profession / job,Das ist der Beruf.,Nomen (m); Plural: Berufe.
686,die Fahrtkarte,(travel) ticket,Das ist die Fahrtkarte.,Nomen (f); Plural: Fahrtkarten.
687,die gute Zugverbindung,good train connection,Das ist die gute Zugverbindung.,Nomen (f); Plural: gute Zugverbindungen.
688,das Visum,visa,Das ist das Visum.,Nomen (n); Plural: Visen.
689,die Bank,bank,Das ist die Bank.,Nomen (f); Plural: Banke.
690,bitten,to ask (for) / to request,Ich will bitten.,Verb: bitten.
691,das Studium,studies / degree course,Das ist das Studium.,Nomen (n); Plural: Studien.
692,sich ausruhen,to rest,Ich will sich ausruhen.,Verb: sich ausruhen.
693,entscheiden,to decide,Ich will entscheiden.,Verb: entscheiden.
694,die Einladung,invitation,Das ist die Einladung.,Nomen (f); Plural: Einladungen.
695,am nächsten,closest / next,Ich will am nächsten.,Verb: am nächsten.
696,die Mail,email,Das ist die Mail.,Nomen (f); Plural: Maile.
697,das Foto,photo,Das ist das Foto.,Nomen (n); Plural: Fotoe.
698,real,real,Heute ist es real.,Wort/Redemittel.
699,der Hotelkaufmann,hotel clerk (male),Das ist der Hotelkaufmann.,Nomen (m); Plural: Hotelkaufmanne.
700,die Krankenschwester,nurse,Das ist die Krankenschwester.,Nomen (f); Plural: Krankenschwester.
701,die Auszubildende,trainee / apprentice,Das ist die Auszubildende.,Nomen (f); Plural: Auszubildenden.
702,die Berufserfahrung,work experience,Das ist die Berufserfahrung.,Nomen (f); Plural: Berufserfahrungen.
703,die Arztpraxis,doctor's office,Das ist die Arztpraxis.,Nomen (f); Plural: Arztpraxise.
704,die Grundschule,primary school,Das ist die Grundschule.,Nomen (f); Plural: Grundschulen.
705,die Hauptschule,secondary school (Hauptschule),Das ist die Hauptschule.,Nomen (f); Plural: Hauptschulen.
706,die Gesamtschule,comprehensive school,Das ist die Gesamtschule.,Nomen (f); Plural: Gesamtschulen.
707,die Realschule,secondary school (Realschule),Das ist die Realschule.,Nomen (f); Plural: Realschulen.
708,die Berufsschule,vocational school,Das ist die Berufsschule.,Nomen (f); Plural: Berufsschulen.
709,das Schulsystem,school system,Das ist das Schulsystem.,Nomen (n); Plural: Schulsysteme.
710,das Bundesland,federal state,Das ist das Bundesland.,Nomen (n); Plural: Bundeslande.
711,die Arzthelferin,medical assistant,Das ist die Arzthelferin.,Nomen (f); Plural: Arzthelferine.
712,das Gymnasium,grammar school (Gymnasium),Das ist das Gymnasium.,Nomen (n); Plural: Gymnasien.
713,der Altenpfleger,geriatric nurse,Das ist der Altenpfleger.,Nomen (m); Plural: Altenpfleger.
714,der Englischlehrer,English teacher,Das ist der Englischlehrer.,Nomen (m); Plural: Englischlehrer.
715,die Hotelkauffrau,hotel clerk (female),Das ist die Hotelkauffrau.,Nomen (f); Plural: Hotelkauffraue.
716,der Krankenpfleger,nurse (male),Das ist der Krankenpfleger.,Nomen (m); Plural: Krankenpfleger.
717,die Arbeitswelt,working world,Das ist die Arbeitswelt.,Nomen (f); Plural: Arbeitswelte.
718,die Erfahrung,experience,Das ist die Erfahrung.,Nomen (f); Plural: Erfahrungen.
719,das Handwerk,skilled trade / craft,Das ist das Handwerk.,Nomen (n); Plural: Handwerke.
720,die Werbeagentur,advertising agency,Das ist die Werbeagentur.,Nomen (f); Plural: Werbeagenture.
721,das Reisebüro,travel agency,Das ist das Reisebüro.,Nomen (n); Plural: Reisebüroe.
722,die AG,club / working group (AG),Das ist die AG.,Nomen (f); Plural: AGe.
723,das Au-pair,au pair,Das ist das Au-pair.,Nomen (n); Plural: Au-paire.
724,der Grafiker,graphic designer,Das ist der Grafiker.,Nomen (m); Plural: Grafiker.
725,der Azubi,trainee (Azubi),Das ist der Azubi.,Nomen (m); Plural: Azubie.
726,die Lehre,apprenticeship,Das ist die Lehre.,Nomen (f); Plural: Lehren.
727,die Messe,trade fair,Das ist die Messe.,Nomen (f); Plural: Messen.
728,der Schulabschluss,school-leaving qualification,Das ist der Schulabschluss.,Nomen (m); Plural: Schulabschlusse.
729,der Abschluss,graduation / qualification,Das ist der Abschluss.,Nomen (m); Plural: Abschlusse.
730,die Direktorin,principal,Das ist die Direktorin.,Nomen (f); Plural: Direktorine.
731,die Schülerin,pupil / student (female),Das ist die Schülerin.,Nomen (f); Plural: Schülerine.
732,das Klassenzimmer,classroom,Das ist das Klassenzimmer.,Nomen (n); Plural: Klassenzimmer.
733,die Unterrichtszeit,lesson time,Das ist die Unterrichtszeit.,Nomen (f); Plural: Unterrichtszeite.
734,die Cafeteria,cafeteria,Das ist die Cafeteria.,Nomen (f); Plural: Cafeteriae.
735,der Stundenplan,timetable,Das ist der Stundenplan.,Nomen (m); Plural: Stundenplane.
736,die Fremdsprache,foreign language,Das ist die Fremdsprache.,Nomen (f); Plural: Fremdsprachen.
737,die Klassenfahrt,class trip,Das ist die Klassenfahrt.,Nomen (f); Plural: Klassenfahrte.
738,die Schuluniform,school uniform,Das ist die Schuluniform.,Nomen (f); Plural: Schuluniforme.
739,die Vorbereitung,preparation,Das ist die Vorbereitung.,Nomen (f); Plural: Vorbereitungen.
740,der Schulweg,way to school,Das ist der Schulweg.,Nomen (m); Plural: Schulwege.
741,der Vokabeltest,vocabulary test,Das ist der Vokabeltest.,Nomen (m); Plural: Vokabelteste.
742,das Abitur,Abitur (school-leaving exam),Das ist das Abitur.,Nomen (n); Plural: Abiture.
743,das Zeugnis,certificate / report card,Das ist das Zeugnis.,Nomen (n); Plural: Zeugnise.
744,der Direktor,principal (male),Das ist der Direktor.,Nomen (m); Plural: Direktore.
745,die Dauer,duration,Das ist die Dauer.,Nomen (f); Plural: Dauer.
746,die Ferien,holidays / vacation,Das ist die Ferien.,Nomen (f); Plural: Feriene.
747,der Schüler,pupil / student (male),Das ist der Schüler.,Nomen (m); Plural: Schüler.
748,das Fach,school subject,Das ist das Fach.,Nomen (n); Plural: Fache.
749,einhunderteins,one hundred and one (101),Heute ist es einhunderteins.,Wort/Redemittel.
750,ausschlafen,to sleep in,Ich will ausschlafen.,Verb (trennbar): ausschlafen.
751,die Grafik,graphic,Das ist die Grafik.,Nomen (f); Plural: Grafike.
752,die Behinderung,disability,Das ist die Behinderung.,Nomen (f); Plural: Behinderungen.
753,der Rollstuhl,wheelchair,Das ist der Rollstuhl.,Nomen (m); Plural: Rollstuhle.
754,die Erholung,recovery / relaxation,Das ist die Erholung.,Nomen (f); Plural: Erholungen.
755,die Erinnerung,memory,Das ist die Erinnerung.,Nomen (f); Plural: Erinnerungen.
756,die Weltreise,world trip,Das ist die Weltreise.,Nomen (f); Plural: Weltreisen.
757,erwachsen,adult / grown-up,Ich will erwachsen.,Verb: erwachsen.
758,unabhängig,independent,Heute ist es unabhängig.,Wort/Redemittel.
759,sozial,social,Heute ist es sozial.,Wort/Redemittel.
760,die Gemeinsamkeit,similarity / common point,Das ist die Gemeinsamkeit.,Nomen (f); Plural: Gemeinsamkeiten.
761,die Vorlesung,lecture,Das ist die Vorlesung.,Nomen (f); Plural: Vorlesungen.
762,die Hauptsache,main thing,Das ist die Hauptsache.,Nomen (f); Plural: Hauptsachen.
763,der Unterschied,difference,Das ist der Unterschied.,Nomen (m); Plural: Unterschiede.
764,zustimmen,to agree,Ich will zustimmen.,Verb (trennbar): zustimmen.
765,überraschen,to surprise,Ich will überraschen.,Verb: überraschen.
766,wenigstens,at least,Heute ist es wenigstens.,Wort/Redemittel.
767,teilnehmen,to take part,Ich will teilnehmen.,Verb: teilnehmen.
768,liegen,to lie / be located,Ich will liegen.,Verb: liegen.
769,empfangen,to receive / welcome,Ich will empfangen.,Verb: empfangen.
770,der Platz,place / seat,Das ist der Platz.,Nomen (m); Plural: Platze.
771,der Plan,plan,Das ist der Plan.,Nomen (m); Plural: Plane.
772,anmelden,to register / sign up,Ich will anmelden.,Verb (trennbar): anmelden.
773,der Flohmarkt,flea market,Das ist der Flohmarkt.,Nomen (m); Plural: Flohmarkte.
774,das Sofa,sofa,Das ist das Sofa.,Nomen (n); Plural: Sofae.
775,der Aufenthalt,stay,Das ist der Aufenthalt.,Nomen (m); Plural: Aufenthalte.
776,die Reservierung,reservation,Das ist die Reservierung.,Nomen (f); Plural: Reservierungen.
777,spätestens,at the latest,Heute ist es spätestens.,Wort/Redemittel.
778,der Verein,club / association,Das ist der Verein.,Nomen (m); Plural: Vereine.
779,absagen,to cancel,Ich will absagen.,Verb (trennbar): absagen.
780,zusagen,to accept / confirm,Ich will zusagen.,Verb (trennbar): zusagen.
781,gemeinsam,together,Heute ist es gemeinsam.,Wort/Redemittel.
782,organisieren,to organize,Ich will organisieren.,Verb: organisieren.
783,der Eingang,entrance,Das ist der Eingang.,Nomen (m); Plural: Eingange.
784,informieren,to inform,Ich will informieren.,Verb: informieren.
785,weiterhelfen,to help further,Ich will weiterhelfen.,Verb (trennbar): weiterhelfen.
786,die Zigarette,cigarette,Das ist die Zigarette.,Nomen (f); Plural: Zigaretten.
787,das WC,toilet,Das ist das WC.,Nomen (n); Plural: WCe.
788,bitter,bitter,Heute ist es bitter.,Wort/Redemittel.
789,salzig,salty,Heute ist es salzig.,Wort/Redemittel.
790,sauer,sour,Heute ist es sauer.,Wort/Redemittel.
791,scharf,spicy / sharp,Heute ist es scharf.,Wort/Redemittel.
792,abschließen,to lock / to finish,Ich will abschließen.,Verb (trennbar): abschließen.
793,die Rentnerin,(female) retiree,Das ist die Rentnerin.,Nomen (f); Plural: Rentnerine.
794,die Ausbildung,training / apprenticeship,Das ist die Ausbildung.,Nomen (f); Plural: Ausbildungen.
795,geboren,born,Ich will geboren.,Verb: geboren.
796,geschieden,divorced,Ich will geschieden.,Verb: geschieden.
797,der Rentner,retiree,Das ist der Rentner.,Nomen (m); Plural: Rentner.
798,die Überstunde,overtime hour,Das ist die Überstunde.,Nomen (f); Plural: Überstunden.
799,der Augenoptiker,optician,Das ist der Augenoptiker.,Nomen (m); Plural: Augenoptiker.
800,die Bankkauffrau,bank clerk,Das ist die Bankkauffrau.,Nomen (f); Plural: Bankkauffraue.
801,das Stadtzentrum,city center,Das ist das Stadtzentrum.,Nomen (n); Plural: Stadtzentren.
802,das Land,country / countryside,Das ist das Land.,Nomen (n); Plural: Lande.
803,vor,before / in front of,Heute ist es vor.,Wort/Redemittel.
804,zusammenleben,to live together,Ich will zusammenleben.,Verb (trennbar): zusammenleben.
805,die Note,grade / mark,Das ist die Note.,Nomen (f); Plural: Noten.
806,weitersuchen,to keep looking,Ich will weitersuchen.,Verb (trennbar): weitersuchen.
807,das Apartment,apartment,Das ist das Apartment.,Nomen (n); Plural: Apartmente.
808,wohnen,to live (reside),Ich will wohnen.,Verb: wohnen.
809,die Sprache,language,Das ist die Sprache.,Nomen (f); Plural: Sprachen.
810,fließend,fluent,Heute ist es fließend.,Wort/Redemittel.
811,die Kollegen,colleagues,Das ist die Kollegen.,Nomen (f); Plural: Kollegene.
812,die Angst,fear,Das ist die Angst.,Nomen (f); Plural: Angste.
813,die Sätze,sentences,Das ist die Sätze.,Nomen (f); Plural: Sätzen.
814,der Gegenstand,object,Das ist der Gegenstand.,Nomen (m); Plural: Gegenstande.
815,der Sinn,meaning / sense,Das ist der Sinn.,Nomen (m); Plural: Sinne.
816,der Bruder,brother,Das ist der Bruder.,Nomen (m); Plural: Bruder.
817,fast,almost,Heute ist es fast.,Wort/Redemittel.
818,achtundachtzig,eighty-eight (88),Heute ist es achtundachtzig.,Wort/Redemittel.
819,die andere Währung,other currency,Das ist die andere Währung.,Nomen (f); Plural: andere Währungen.
820,herunterladen,to download,Ich will herunterladen.,Verb (trennbar): herunterladen.
821,sein,to be,Heute ist es sein.,Wort/Redemittel.
822,fahren,to drive / go,Ich will fahren.,Verb: fahren.
823,fliegen,to fly,Ich will fliegen.,Verb: fliegen.
824,gehen,to go / walk,Ich will gehen.,Verb: gehen.
825,unternehmen,to do / undertake,Ich will unternehmen.,Verb: unternehmen.
826,neutral,neutral,Heute ist es neutral.,Wort/Redemittel.
827,kommen,to come,Ich will kommen.,Verb: kommen.
828,sich benehmen,to behave,Ich will sich benehmen.,Verb: sich benehmen.
829,sympathisch,likeable,Heute ist es sympathisch.,Wort/Redemittel.
830,zurückgeben,to give back / return,Ich will zurückgeben.,Verb (trennbar): zurückgeben.
831,vorkommen,to happen / occur,Ich will vorkommen.,Verb (trennbar): vorkommen.
832,einziehen,to move in,Ich will einziehen.,Verb (trennbar): einziehen.
833,modisch,fashionable,Heute ist es modisch.,Wort/Redemittel.
834,weglaufen,to run away,Ich will weglaufen.,Verb (trennbar): weglaufen.
835,inklusive,including,Heute ist es inklusive.,Wort/Redemittel.
836,knapp,just / barely,Heute ist es knapp.,Wort/Redemittel.
837,rufen,to call,Ich will rufen.,Verb: rufen.
838,dringend,urgent,Heute ist es dringend.,Wort/Redemittel.
839,genervt,annoyed,Heute ist es genervt.,Wort/Redemittel.
840,kostenlos,free of charge,Heute ist es kostenlos.,Wort/Redemittel.
841,nirgends,nowhere,Heute ist es nirgends.,Wort/Redemittel.
842,ausgesprochen,pronounced / very,Ich will ausgesprochen.,Verb (trennbar): ausgesprochen.
843,fremd,foreign / strange,Heute ist es fremd.,Wort/Redemittel.
844,wahr,true,Heute ist es wahr.,Wort/Redemittel.
845,sterben,to die,Ich will sterben.,Verb: sterben.
846,gewinnen,to win,Ich will gewinnen.,Verb: gewinnen.
847,schlafen,to sleep,Ich will schlafen.,Verb: schlafen.
848,schlagen,to hit / beat,Ich will schlagen.,Verb: schlagen.
849,vorschlagen,to suggest,Ich will vorschlagen.,Verb (trennbar): vorschlagen.
850,die Gärtnerin,gardener,Das ist die Gärtnerin.,Nomen (f); Plural: Gärtnerine.
851,bleiben,to stay,Ich will bleiben.,Verb: bleiben.
852,tragen,to carry / to wear,Ich will tragen.,Verb: tragen.
853,treu,loyal,Heute ist es treu.,Wort/Redemittel.
854,ausfallen,to be cancelled / to break down,Ich will ausfallen.,Verb (trennbar): ausfallen.
855,geben,to give,Ich will geben.,Verb: geben.
856,stinken,to stink,Ich will stinken.,Verb: stinken.
857,hängen,to hang,Ich will hängen.,Verb: hängen.
858,kennen,to know (a person/place),Ich will kennen.,Verb: kennen.
859,hergeben,to hand over,Ich will hergeben.,Verb (trennbar): hergeben.
860,auffallen,to stand out / be noticeable,Ich will auffallen.,Verb (trennbar): auffallen.
861,mithelfen,to help (out),Ich will mithelfen.,Verb (trennbar): mithelfen.
862,nehmen,to take,Ich will nehmen.,Verb: nehmen.
863,abgeben,to hand in / give away,Ich will abgeben.,Verb (trennbar): abgeben.
864,ausgeben,to spend (money),Ich will ausgeben.,Verb (trennbar): ausgeben.
865,hochladen,to upload,Ich will hochladen.,Verb (trennbar): hochladen.
